wallet_id,action,timestamp,value,gas,gasUsed
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1509346683,16.44529,30000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1509590863,2.0,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510282161,0.01,685882,457255
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510337013,91.0,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510548970,0.0,144078,81052
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510549129,0.01,685978,457319
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510609368,12.5,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683211,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683425,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683427,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683511,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683536,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683541,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683550,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683559,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683595,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683606,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683606,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683620,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683620,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683668,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683680,0.0,2700000,2700000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683846,0.0,3398162,3398162
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683926,0.0,3910992,3910992
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510683949,0.0,3910416,3910416
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684026,0.0,3910288,3910288
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684095,0.0,3910992,3910992
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684190,0.0,3910928,3910928
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684230,0.0,3911056,3911056
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684382,0.0,3910736,3910736
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684398,0.0,3910864,3910864
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684891,0.0,3911120,3911120
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684961,0.0,3910736,3910736
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684989,0.0,3910928,3910928
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510684994,0.0,3911184,3911184
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510685074,0.0,3910928,3910928
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510685084,0.0,3910672,3885088
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510687770,0.0,28525,28525
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510693100,2.5,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510725872,0.0,139732,93155
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510725977,0.0,22680,22680
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510731899,0.391,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510798885,0.5,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510801187,0.0,51562,19375
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510802743,0.0,284966,284966
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510802862,0.0,49894,49894
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510804425,0.0,70762,47175
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510804510,0.0,74395,49597
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510857794,0.0,737499,737499
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510857805,0.0,3873605,3873605
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510861758,0.0,2772861,2772861
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510869078,0.0,242513,242513
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510870205,0.0,43990,43990
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510873696,0.0,132381,132381
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510887834,0.0,1436276,1436276
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510888275,0.0,131528,131528
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510888433,0.0,1095092,1095092
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510888592,0.0,64313,64313
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510888639,0.02,75152,75152
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510889107,0.0,297483,297483
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510893976,0.0,572717,572717
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510894320,0.0,49894,49894
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1510894554,0.0,242513,242513
